mode,libelle,definition,Position,Classe,Etendue,ValeurInt,Terrain,Couleur
14,Black locust,Robinia pseudoacacia,14,16,,,1,925732
15,Big maples,Acer pseudoplatanus ou platanoides,15,17,,,1,a8d3af
19,Cultivated poplar,Populus deltoides ou trichocarpa ou canadensis ou 'interamericain' ou autre peuplier selectionne,19,22,,,1,f3e600
20,Linden,Tilia cordata ou platyphyllos,20,24,,,1,
21,Small maples,Acer campestre ou opalus ou monspessulanum,21,18,,,1,
23,Fruit trees,Pirus malus ou communis ou prunus amygdalus ou domestica ou sorbus aria ou aucuparia ou domestica ou latifolia ou mougeoti,23,27,,,1,
24,Trembling aspen,Populus tremula,24,28,,,1,c5d9c7
25,Willow,Salix sp. sauf espece rampante ou buissonnante,25,29,,,1,
33,Non-cultivated poplar,Populus alba ou nigra ou canescens ou autre peuplier non selectionne,32,23,,,1,
52,Scots pine,Pinus sylvestris,43,52,,,,704696
53,Corsican black pine,Pinus salzmannii ou nigra ssp. laricio corsicana ou calabrica,44,53,,,,4f4c9a
54,Black pine,Pinus nigra ssp. nigricans ou clusiana,45,54,,,,6c4796
58,Hook pine,Pinus uncinata,49,58,,,1,63509d
61,Silver fir,Abies alba = pectinata,52,62,,,1,5ac1d1
